F1,F2,D,dropout,learning_rate,batch_size,weight_decay,f1_score,precision,recall,val_loss
16,32,8,0.18860045331383207,0.00013407550788849536,256,0.0032817906573662323,0.9662227149482154,0.9625932460198183,0.970108707871018,0.06431633171935876
16,32,8,0.3120813556275509,7.246533092529531e-05,256,0.009955243463071023,0.9726731789286028,0.9766772569721106,0.9689880429669229,0.06725401990115643
16,32,8,0.31329744433756235,0.00010239133247413816,256,0.0018535860429203786,0.967201691759967,0.9639247812130698,0.9708140214470219,0.06367966843148072
4,32,8,0.28327942057909794,5.522409426416756e-05,256,0.006934822179330014,0.9635009674173826,0.958304401903526,0.9692673186455022,0.07569508689145248
16,32,8,0.20966786980412722,7.183672149648235e-05,256,0.005657278763762858,0.9695349040099591,0.9682948783444661,0.9709536592863116,0.06558514138062795
16,32,8,0.30069723687157707,9.351459472101092e-05,256,0.004624422932465172,0.967201691759967,0.9639247812130698,0.9708140214470219,0.06730091882248719
16,32,8,0.24295214941672513,6.245227718671456e-05,256,0.009797754115208765,0.9697547760608843,0.9641608915542422,0.9758560266136921,0.0654760841280222
16,32,8,0.2249706630485494,4.303679934837843e-05,32,0.007823883143519474,0.971331894914181,0.9726001021990922,0.9702519079000855,0.06912603061747453
16,32,8,0.2039504981682997,4.17455931913573e-05,32,0.0037221315477012585,0.9608416210405532,0.9532974630227026,0.9691241186164348,0.06588748549288341
16,32,8,0.2237260511687793,0.00013334474557196384,256,0.0026078104369183946,0.9708454467749822,0.9718457295615305,0.9699690700317283,0.06562069896608591
16,32,8,0.16448003210903828,8.695491509420192e-05,32,0.007279776174243545,0.966779382197998,0.9755510937754864,0.9586211947652256,0.07035904751746389
16,32,8,0.33859973511489444,0.00011058081967994739,32,0.000916071232976949,0.9690330833375214,0.9609192892956392,0.9778216429330809,0.06462202748535555
32,32,8,0.5497619949288474,0.0001222122385550009,128,0.0020333512952230583,0.9689558348325357,0.9680706296975581,0.9701122700607958,0.06989271488661568
16,32,8,0.2267497936884703,0.00027832170364323243,32,0.005146583759422341,0.9670898191760783,0.9709463337638112,0.963523562092606,0.07112548762107389
16,32,8,0.31348666334377573,7.551937164254858e-05,32,0.00799221739442268,0.9704838479130933,0.9770909992921668,0.9643685135078996,0.07227722130609555
16,32,8,0.25661231627088693,4.4144527289811745e-05,32,0.006715944449843334,0.9667004117021416,0.96369866983557,0.9701122700607958,0.06849791514421509
16,32,8,0.18082269965344794,5.2615790496500225e-05,32,0.006187987817092372,0.9667232646160624,0.9628493722508317,0.9708104592572443,0.06784118956610379
16,32,8,0.281823850445446,6.435625270429218e-05,32,0.00968330422022004,0.9689558348325357,0.9680706296975581,0.9701122700607958,0.07284879661671331
16,32,8,0.10104050015452917,0.00014491899760216218,256,0.0016677942331937005,0.9660655468159328,0.9581026774545917,0.9747282373300413,0.06468277983367443
4,32,8,0.6242908856880177,8.209342172371387e-05,32,0.0038377639241892487,0.9688099798777184,0.9805671006623583,0.958059081218289,0.07434396782343317
16,32,8,0.24254196066934794,0.0009002180217203852,32,0.008245759229596611,0.9670051599088764,0.9740982451705915,0.9605733565186338,0.0799130602972582
16,32,8,0.26617000017923576,0.0006011854898614242,32,0.0022863416676536263,0.96254703154452,0.9617010105369151,0.9636631999318958,0.07112522287808014
16,32,8,0.29428020220870305,0.00016825823350393387,32,0.004843312940357343,0.9635510575421532,0.9621759387781541,0.9650667027043479,0.07038440865226617
